Statement, Link, Date, Source, Label
President Joe Biden said “this s--- will turn your pacemaker off.”,https://www.politifact.com/factchecks/2023/feb/16/viral-image/did-joe-biden-profanely-mention-pacemakers-speech/,uary 16^ 2023,Viral image,pants-fire
Russian President Vladimir Putin “intercepts adrenochrome shipment headed to United States.”,https://www.politifact.com/factchecks/2023/feb/16/blog-posting/vladimir-putin-didnt-intercept-shipment-of-chemica/,uary 16^ 2023,Bloggers,pants-fire
"Energy costs are the highest in 15 years.",https://www.politifact.com/factchecks/2023/feb/16/morgan-luttrell/estimated-winter-heating-costs-highest-level-over/,uary 16^ 2023,Morgan Luttrell,mostly-true
"Mother Teresa sold babies.”,https://www.politifact.com/factchecks/2023/feb/15/instagram-posts/mother-teresa-did-not-sell-babies-social-media-pos/,uary 15^ 2023,Instagram posts,false
"It's President Biden who is proposing to cut Medicare Advantage.",https://www.politifact.com/factchecks/2023/feb/15/tom-cotton/proposed-medicare-advantage-changes-cannot-accurat/,uary 15^ 2023,Tom Cotton,false
“Michigan State University suspect is 22-year-old ‘Raymone Jordan.’”,https://www.politifact.com/factchecks/2023/feb/15/social-media/social-media-posts-falsely-name-22-year-old-michig/,uary 15^ 2023,Social Media,false
“Humans are not causing climate change.” Magnetic pole shifting “is causing havoc worldwide in weather^ climate^ earthquakes^ tsunamis^ etc.”,https://www.politifact.com/factchecks/2023/feb/15/instagram-posts/do-magnetic-pole-shifts-cause-modern-climate-chang/,uary 15^ 2023,Instagram posts,false
The earthquake in Turkey is a "scripted" use of geo engineering weather modification HAARP,https://www.politifact.com/factchecks/2023/feb/15/facebook-posts/turkey-syria-earthquakes-were-natural-disaster-not/,uary 15^ 2023,Facebook posts,false
Gov. Abbott “signed a bill last year eliminating the requirements for Texas schools to teach MLK’s ‘I have a dream’ speech.”,https://www.politifact.com/factchecks/2023/feb/14/sawyer-hackett/texas-schools-can-still-teach-works-martin-luther/,uary 14^ 2023,Sawyer Hackett,half-true
“Right now^ driving 100 miles in an electric vehicle is more expensive than driving an internal combustion engine car.”,https://www.politifact.com/factchecks/2023/feb/14/erick-erickson/for-certain-car-models-its-more-expensive-to-drive/,uary 14^ 2023,Erick Erickson,half-true
The Michigan State University shooter is a 21-year-old man named Lynn Dee Walker.,https://www.politifact.com/factchecks/2023/feb/14/facebook-posts/michigan-state-university-gunman-was-43-year-old-a/,uary 14^ 2023,Facebook posts,false
On running against Donald Trump for president.,https://www.politifact.com/factchecks/2023/feb/14/nikki-haley/nikki-haley-flip-flops-presidential-plans-and-will/,uary 14^ 2023,Nikki Haley,full-flop
Canada is to thank for American football.,https://www.politifact.com/factchecks/2023/feb/13/dave-grohl/should-we-thank-canada-for-football-pretty-much-da/,uary 13^ 2023,Dave Grohl,mostly-true
The Kansas City Chiefs’ Super Bowl win has been “put on hold as NFL plans to launch an investigation on possible (performance-enhancing drug) use by Patrick Mahomes during halftime.”,https://www.politifact.com/factchecks/2023/feb/13/tweets/rumor-about-nfl-investigating-patrick-mahomes-drug/,uary 13^ 2023,Tweets,pants-fire
“We used to rank No. 1 in the world in research and development^ now we rank No. 9. China used to rank No. 8^ now it ranks No. 2.”,https://www.politifact.com/factchecks/2023/feb/13/joe-biden/biden-says-us-losing-ground-china-rd-spending-his/,uary 13^ 2023,Joe Biden,barely-true
"Studies show that children who go to preschool are nearly 50% more likely to finish high school and go on to earn a two- or four-year degree^ no matter their background they came from.",https://www.politifact.com/factchecks/2023/feb/13/joe-biden/joe-biden-right-preschool-benefits-college-attenda/,uary 13^ 2023,Joe Biden,mostly-true
“Joe Biden put his pants on backwards”,https://www.politifact.com/factchecks/2023/feb/10/instagram-posts/we-know-all-about-pants-doctored-image-falsely-sho/,uary 10^ 2023,Instagram posts,pants-fire
Gen. Mark Milley “never served in combat.”,https://www.politifact.com/factchecks/2023/feb/10/viral-image/gen-mark-milley-served-multiple-combat-tours-despi/,uary 10^ 2023,Viral image,false
Photos show someone in a President Joe Biden mask at the State of the Union.,https://www.politifact.com/factchecks/2023/feb/10/facebook-posts/was-someone-joe-biden-mask-state-union-no-it-was-b/,uary 10^ 2023,Facebook posts,pants-fire
A photo shows a deputy U.S. marshal “keeping a close eye” on President Joe Biden at the State of the Union address on Feb. 7.,https://www.politifact.com/factchecks/2023/feb/10/facebook-posts/photo-doesnt-show-a-deputy-us-marshal-behind-presi/,uary 10^ 2023,Facebook posts,false
A video shows a dog trying to reach her puppies after the Turkey-Syria earthquake.,https://www.politifact.com/factchecks/2023/feb/10/viral-image/puppy-rescue-filmed-india-2019-not-turkey-or-syria/,uary 10^ 2023,Viral image,false
“100% of COVID deaths in Canada now due to mRNA vaccine.”,https://www.politifact.com/factchecks/2023/feb/10/viral-image/have-covid-19-vaccines-caused-all-covid-19-deaths/,uary 10^ 2023,Viral image,false
Photo shows former President Donald Trump and Mexican President Andrés Manuel López Obrador kissing.,https://www.politifact.com/factchecks/2023/feb/10/viral-image/photo-donald-trump-mexican-president-andres-manuel/,uary 10^ 2023,Viral image,false
Statement, Link, Date, Source, Label
"In the month since Republicans took the House majority^" they are trying to "impose a 30% tax on everything.",https://www.politifact.com/factchecks/2023/feb/10/facebook-posts/gop-wants-a-30-tax-on-everything-that-ignores-taxe/,uary 10^ 2023,Facebook posts,barely-true
President Joe Biden “cheated on his taxes and got away with it.”,https://www.politifact.com/factchecks/2023/feb/10/rick-scott/is-joe-biden-a-tax-cheat-as-rick-scott-says-thats/,uary 10^ 2023,Rick Scott,false
“NASA Curiosity finds Nazi helmet on Mars.",https://www.politifact.com/factchecks/2023/feb/10/viral-image/mars-curiosity-rover-photographed-rocks-not-third/,uary 10^ 2023,Viral image,false
"Joe Biden's wide open southern border" is to blame for fentanyl deaths in the U.S.,https://www.politifact.com/factchecks/2023/feb/10/kayleigh-mcenany/are-bidens-border-policies-to-blame-for-fentanyl-d/,uary 10^ 2023,Kayleigh McEnany,false
The 87^000 new IRS agents who were supposed to “only target the rich” are now “coming after waitresses’ tips.”,https://www.politifact.com/factchecks/2023/feb/10/mike-palicz/check-please-are-irs-agents-coming-for-servers-tip/,uary 10^ 2023,Mike Palicz,barely-true
“There are no humans” on the International Space Station.,https://www.politifact.com/factchecks/2023/feb/09/facebook-posts/houston-we-have-problem-misinformation-about-space/,ruary 9^ 2023,Facebook posts,false
Earthquake in Turkey and Syria is "a systemic attack against Kurdish people.",https://www.politifact.com/factchecks/2023/feb/09/instagram-posts/earthquake-syria-and-turkey-was-real-natural-disas/,ruary 9^ 2023,Instagram posts,pants-fire
An ingredient in some of Chick-fil-A’s dipping sauces can cause serious health problems.,https://www.politifact.com/factchecks/2023/feb/09/facebook-posts/the-sauce-is-safe-experts-say-chick-fil-a-dip-ingr/,ruary 9^ 2023,Facebook posts,false
“In the past two years^ democracies have become stronger^ not weaker. Autocracies have grown weaker^ not stronger.”,https://www.politifact.com/factchecks/2023/feb/09/joe-biden/have-global-democracies-gotten-stronger-biden-clai/,ruary 9^ 2023,Joe Biden,false
In Wisconsin^ even multimillionaires can be on BadgerCare "because we don't even ask people what their income level is to qualify for free health care.",https://www.politifact.com/factchecks/2023/feb/09/robin-vos/vos-mostly-right-claim-about-multimillionaires-bad/,ruary 9^ 2023,Robin Vos,mostly-true
Mark Zuckerberg launched a platform last month "that allows each user to earn from $500 a day without even leaving home.",https://www.politifact.com/factchecks/2023/feb/08/facebook-posts/libra-is-dead-long-live-libra-dont-fall-for-claims/,ruary 8^ 2023,Facebook posts,false
Joe Biden closed schools during the COVID-19 pandemic.,https://www.politifact.com/factchecks/2023/feb/08/lauren-boebert/lauren-boebert-said-joe-biden-closed-schools-heres/,ruary 8^ 2023,Lauren Boebert,false
Wind farm construction is a possible cause of dead whales washing ashore in New Jersey.,https://www.politifact.com/factchecks/2023/feb/08/instagram-posts/undersea-sounds-wind-farms-killing-whales-jersey-s/,ruary 8^ 2023,Instagram posts,barely-true
"Unusual cancers” are “exploding right into stage 4" and those cancer cells have “the spike protein.",https://www.politifact.com/factchecks/2023/feb/08/facebook-posts/oft-repeated-claim-again-debunked-experts-say-stil/,ruary 8^ 2023,Facebook posts,false
If New York’s proposed limits on natural gas in buildings take effect^ the grid today can’t handle the increased electric load.,https://www.politifact.com/factchecks/2023/feb/08/robert-ortt/electrical-grid-requires-investments-if-natural-ga/,ruary 8^ 2023,Robert Ortt,true
Photo showing Game of Thrones characters depicts victims of the earthquake in Turkey and Syria.,https://www.politifact.com/factchecks/2023/feb/08/instagram-posts/photo-shows-game-thrones-characters-not-victims-ea/,ruary 8^ 2023,Instagram posts,false
“We created more new jobs in two years than any president did in their entire term.”,https://www.politifact.com/factchecks/2023/feb/07/joe-biden/joe-bidens-boast-about-job-creation-needs-some-ast/,ruary 7^ 2023,Joe Biden,half-true
Image shows a "Super Bowl script was leaked.”,https://www.politifact.com/factchecks/2023/feb/07/tweets/a-leaked-super-bowl-script-we-throw-a-flag-on-this/,ruary 7^ 2023,Tweets,pants-fire
Backyard chicken flocks have stopped laying eggs^ and the feed is responsible.,https://www.politifact.com/factchecks/2023/feb/07/facebook-posts/chicken-feed-being-sabotaged-elaborate-plot-no-the/,ruary 7^ 2023,Facebook posts,false
“‘Satellites’ are on balloons and not in space.”,https://www.politifact.com/factchecks/2023/feb/07/instagram-posts/balloon-powered-satellites-space-conspiracies-flou/,ruary 7^ 2023,Instagram posts,pants-fire
"During my time in office^ we've increased per pupil aid by more than $300 per student. Now^ our schools have returned to the top 10 in the country after falling to 17 under the previous administration.”,https://www.politifact.com/factchecks/2023/feb/07/tony-evers/evers-links-more-per-pupil-aid-with-states-improve/,ruary 7^ 2023,Tony Evers,half-true
“You know how many children are dying across Virginia because of fentanyl poisoning? A heck of a lot more than are dying at the hands of guns.”,https://www.politifact.com/factchecks/2023/feb/07/mark-obenshain/more-virginia-children-die-guns-fentanyl/,ruary 7^ 2023,Mark Obenshain,false
In Ukraine^ 2^458 NATO soldiers and 234 NATO military trainers have died^ some of whom are from the U.S.,https://www.politifact.com/factchecks/2023/feb/06/tweets/nato-and-us-troops-and-trainers-have-not-died-ukra/,ruary 6^ 2023,Tweets,pants-fire
“Pfizer just got caught doing gain of function to mutate covid intentionally for vaccines.”,https://www.politifact.com/factchecks/2023/feb/06/instagram-posts/video-doesnt-prove-claims-that-pfizer-conducted-ga/,ruary 6^ 2023,Instagram posts,false
Diamond and Silk pundit died from COVID-19,https://www.politifact.com/factchecks/2023/feb/06/tweets/unverified-rumors-swirl-around-diamond-and-silk-pu/,ruary 6^ 2023,Tweets,false
Joe Biden said to transgender women^ “you will never be a real woman.”,https://www.politifact.com/factchecks/2023/feb/06/instagram-posts/joe-biden-has-offered-support-transgender-american/,ruary 6^ 2023,Instagram posts,pants-fire
"(Ron) DeSantis' bill would remove: background checks^ instruction^ training and oversight.",https://www.politifact.com/factchecks/2023/feb/06/gavin-newsom/gavin-newsom-overstates-effect-floridas-permitless/,ruary 6^ 2023,Gavin Newsom,half-true
A vigilante “shot down the Chinese spy balloon in an extraordinary act.”,https://www.politifact.com/factchecks/2023/feb/06/instagram-posts/us-government-not-vigilante-shot-down-chinese-ball/,ruary 6^ 2023,Instagram posts,false
“Female student-athletes in Florida need to provide their schools with detailed information about their periods.”,https://www.politifact.com/factchecks/2023/feb/03/tweets/for-now-florida-student-athletes-dont-have-to-shar/,ruary 3^ 2023,Tweets,half-true
Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,https://www.politifact.com/factchecks/2023/feb/03/marjorie-taylor-greene/51-billion-for-one-schools-diversity-program-marjo/,ruary 3^ 2023,Marjorie Taylor Greene,false
Statement, Link, Date, Source, Label
"Under Biden^ we have seen over 4.6 million encounters at our southern border. Most have been released into the interior and will stay here indefinitely.",https://www.politifact.com/factchecks/2023/feb/03/chip-roy/chip-roy-cites-correct-border-encounters-data-wron/,ruary 3^ 2023,Chip Roy,half-true
"In 2010^ (Wisconsin Republicans) inherited a multi-Billion dollar deficit … Today we are looking at a projected surplus approaching 7 Billion.",https://www.politifact.com/factchecks/2023/feb/03/devin-lemahieu/wisconsin-republicans-take-credit-reigning-deficit/,ruary 3^ 2023,Devin LeMahieu,mostly-true
President Joe Biden said^ “The idea that we’re going to send in tanks to Ukraine^ that’s called World War III.”,https://www.politifact.com/factchecks/2023/feb/02/tweets/tweets-distort-bidens-comments-on-tanks-ukraine-an/,ruary 2^ 2023,Tweets,false
Pregnancy tests include a “hidden Plan B” pill.,https://www.politifact.com/factchecks/2023/feb/02/facebook-posts/pregnancy-tests-include-moisture-absorbing-tablet/,ruary 2^ 2023,Facebook posts,false
“More classified documents (were) found at the University of Delaware^” the “equivalent of a tractor trailer worth.”,https://www.politifact.com/factchecks/2023/feb/02/peggy-hubbard/was-a-tractor-trailer-worth-of-classified-document/,ruary 2^ 2023,Peggy Hubbard,false
U.S. Rep. Ilhan Omar is "facing 40 years in prison and deportation after seven new crimes uncovered.",https://www.politifact.com/factchecks/2023/feb/02/facebook-posts/resurfaced-claim-remains-false-theres-no-evidence/,ruary 2^ 2023,Facebook posts,false
“Wisconsin is the nation’s top cranberry producer — in fact^ our farmers harvest around 60 percent of the country’s crop.”,https://www.politifact.com/factchecks/2023/feb/02/tony-evers/yes-wisconsin-does-produce-60-of-the-countrys-supp/,ruary 2^ 2023,Tony Evers,true
The officers who beat Tyre Nichols targeted him because he was “allegedly dating” one of their wives.,https://www.politifact.com/factchecks/2023/feb/02/facebook-posts/claims-that-tyre-nichols-was-dating-a-police-offic/,ruary 1^ 2023,Facebook posts,false
“The largest contributor to the debt ceiling^ or to our deficit^ has been the Trump tax cuts.”,https://www.politifact.com/factchecks/2023/feb/01/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-that-trump-tax-cuts/,ruary 1^ 2023,Alexandria Ocasio-Cortez,false
"I got a list of 20 jurisdictions that defunded the police to the tune of over $1 billion total.",https://www.politifact.com/factchecks/2023/feb/01/jim-jordan/us-rep-jim-jordans-list-cities-defunded-police-doe/,ruary 1^ 2023,Jim Jordan,barely-true
"Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.”,https://www.politifact.com/factchecks/2023/feb/01/instagram-posts/microwave-ovens-arent-causing-colon-cancer-despite/,uary 31^ 2023,Instagram posts,false
Video shows people collapsing because of COVID-19 vaccines.,https://www.politifact.com/factchecks/2023/jan/31/viral-image/videos-of-people-dropping-suddenly-arent-related-t/,uary 31^ 2023,Viral image,false
The government caused a fire at Hillandale Farms in Connecticut “so that they can force us into eating their fake GMO meats^ or starve us into compliance.”,https://www.politifact.com/factchecks/2023/jan/31/viral-image/cause-hillandale-farm-fire-unclear-claims-governme/,uary 31^ 2023,Viral image,false
U.S. Rep. Alexandria Ocasio-Cortez tweeted that Instagram needs to “TERMINATE…a right-wing media page posting CONSERVATIVE content.”,https://www.politifact.com/factchecks/2023/jan/31/viral-image/this-isnt-a-real-tweet-from-alexandria-ocasio-cort/,uary 31^ 2023,Viral image,false
“BREAKING GOP approves resolution to expel Omar from Congress! It’s over for her!”,https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/no-house-republicans-arent-trying-to-expel-us-rep/,uary 31^ 2023,Facebook posts,false
The Georgia High School Association started issuing a “sudden cardiac arrest awareness form” in the wake of COVID-19 vaccines.,https://www.politifact.com/factchecks/2023/jan/31/viral-image/sudden-cardiac-arrest-awareness-form-resulted-from/,uary 31^ 2023,Viral image,false
Video shows a “man burning the Quran in Sweden.”,https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/video-quran-burning-man-was-denmark-2021-not-swede/,uary 31^ 2023,Facebook posts,false
The United Kingdom banned COVID-19 booster vaccines for people under 50.,https://www.politifact.com/factchecks/2023/jan/31/viral-image/uk-targeting-older-adults-its-upcoming-covid-19-va/,uary 31^ 2023,Viral image,barely-true
Video shows Congress “erupting” over U.S. Sen. Ted Cruz’s remarks.,https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/no-congress-didnt-erupt-when-sen-ted-cruz-made-the/,uary 31^ 2023,Facebook posts,false
Same-day voter registration "does not allow election officials to verify the validity and accuracy of voter information.",https://www.politifact.com/factchecks/2023/jan/31/rick-scott/rick-scott-wrongly-said-election-officials-cant-ve/,uary 31^ 2023,Rick Scott,false
Global warming is a “fraud.”,https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/plentiful-evidence-proves-climate-change-is-not-a/,uary 31^ 2023,Facebook posts,false
“Biden smirks while saying he has added more to the debt than any president before him.”,https://www.politifact.com/factchecks/2023/jan/31/viral-image/bidens-debt-comments-taken-out-of-context/,uary 31^ 2023,Viral image,false
Black Americans are not descended from people who were taken from Africa to be enslaved.,https://www.politifact.com/factchecks/2023/jan/31/facebook-posts/the-evidence-is-plentiful-black-americans-ancestor/,uary 31^ 2023,Facebook posts,pants-fire
Glenn Youngkin is “the first sitting Governor in the modern era to have their party have less legislative seats than when they were elected.”,https://www.politifact.com/factchecks/2023/jan/31/louise-lucas/lucas-falsely-inflates-youngkins-special-election/,uary 31^ 2023,Louise Lucas,false
President Joe Biden said^ “To the Ukrainian people^ I say to them all^ you might you might they they might be able to make right and they’re not able to.”,https://www.politifact.com/factchecks/2023/jan/30/viral-image/biden-stumbled-december-speech-altered-video-remov/,uary 30^ 2023,Viral image,false
“Joe Biden’s war on American energy caused this crisis and his only response has been to drain our strategic petroleum reserve to its lowest level since 1983.”,https://www.politifact.com/factchecks/2023/jan/30/richard-hudson/hudson-inflates-bidens-role-oil-prices/,uary 30^ 2023,Richard Hudson,barely-true
This photo shows former President Donald Trump “last week.”,https://www.politifact.com/factchecks/2023/jan/30/viral-image/old-photo-former-president-donald-trump-used-hawk/,uary 30^ 2023,Viral image,false
“NASA stopped exploring the ocean.”,https://www.politifact.com/factchecks/2023/jan/30/instagram-posts/final-frontier-no-nasa-didnt-stop-studying-oceans/,uary 30^ 2023,Instagram posts,pants-fire
The United States of America “no longer exists” because President Joe Biden “signed away our sovereignty as a nation.”,https://www.politifact.com/factchecks/2023/jan/30/facebook-posts/the-us-still-exists-biden-didnt-sign-away-the-coun/,uary 30^ 2023,Facebook posts,pants-fire
The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”,https://www.politifact.com/factchecks/2023/jan/27/instagram-posts/us-spending-afghanistan-dwarfs-aid-ukraine/,uary 27^ 2023,Instagram posts,false
Statement, Link, Date, Source, Label
A photo shows “Barack Obama dressed up as Baphomet (Lucifer).”,https://www.politifact.com/factchecks/2023/jan/27/viral-image/flames-from-hell-thats-just-the-truth-o-meter-burn/,uary 27^ 2023,Viral image,pants-fire
President Joe Biden signed an executive order “making health insurance free for qualifying Americans.”,https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/empty-promise-on-facebook-dangles-free-health-care/,uary 27^ 2023,Facebook posts,false
“Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.”,https://www.politifact.com/factchecks/2023/jan/27/viral-image/dont-egg-them-on-scientists-found-no-link-between/,uary 27^ 2023,Viral image,false
Hospital photo of Damar Hamlin proves “he’s a corpse.”,https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/damar-hamlin-alive-despite-baseless-claims-contrar/,uary 27^ 2023,Facebook posts,pants-fire
“Two years ago this week^ 18 million people were out of work needing unemployment benefits. Today^ that number is under 1.6 million^ the lowest in decades.”,https://www.politifact.com/factchecks/2023/jan/27/joe-biden/joe-biden-touts-big-joblessness-drop-but/,uary 27^ 2023,Joe Biden,half-true
“The average American has anywhere from 5 to 15 pounds” of stool stuck in their gut.,https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/feeling-weighed-down-its-not-because-there-are-5-1/,uary 27^ 2023,Facebook posts,false
“The World Health Organization has been working since 1974 on vaccines to create permanent sterility.”,https://www.politifact.com/factchecks/2023/jan/27/instagram-posts/who-researched-vaccines-contraception-not-steriliz/,uary 27^ 2023,Instagram posts,false
The Transportation Security Administration spent “a couple hundred million dollars” on gender-neutral screening technology.,https://www.politifact.com/factchecks/2023/jan/27/facebook-posts/claim-vastly-overstates-governments-spending-on-ts/,uary 27^ 2023,Facebook posts,false
Video shows hecklers shouting profanities at President Joe Biden.,https://www.politifact.com/factchecks/2023/jan/26/viral-image/another-altered-video-appears-to-show-an-outburst/,uary 26^ 2023,Viral image,false
“Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.”,https://www.politifact.com/factchecks/2023/jan/26/facebook-posts/parody-account-criticizing-aretha-franklins-natura/,uary 26^ 2023,Facebook posts,false
Video shows Rep. Alexandria Ocasio-Cortez crying after “Ted Cruz gets up and humiliates her to her face.”,https://www.politifact.com/factchecks/2023/jan/26/facebook-posts/no-this-video-doesnt-show-alexandria-ocasio-cortez/,uary 26^ 2023,Facebook posts,false
The sinking of the Titanic was orchestrated by the Rothschilds and J.P. Morgan to kill prominent businessmen who opposed the creation of the Federal Reserve.,https://www.politifact.com/factchecks/2023/jan/26/instagram-posts/titanic-sinking-was-accident-caused-over-1500-deat/,uary 26^ 2023,Instagram posts,pants-fire
In California^ there were “10 million mail ballots unaccounted for” in the November midterm election.,https://www.politifact.com/factchecks/2023/jan/26/public-interest-legal-foundation/millions-of-california-ballots-were-simply-unused/,uary 26^ 2023,Public Interest Legal Foundation,false
People not vaccinated against COVID-19 “came out the best.",https://www.politifact.com/factchecks/2023/jan/26/scott-adams/no-dilbert-creator-is-wrong-about-unvaccinated-the/,uary 26^ 2023,Scott Adams,false
Electrically charged stones discovered in Congo.,https://www.politifact.com/factchecks/2023/jan/26/instagram-posts/electrically-charged-stones-found-in-congo-science/,uary 26^ 2023,Instagram posts,false
Sen. Josh Hawley told professor^ “I will not use your pronouns.”,https://www.politifact.com/factchecks/2023/jan/26/facebook-posts/sen-josh-hawley-didnt-tell-professor-he-refused-to/,uary 26^ 2023,Facebook posts,pants-fire
“Andrew Tate officially gets sentenced to 15 years in prison! (Found guilty).”,https://www.politifact.com/factchecks/2023/jan/25/facebook-posts/andrew-tate-remains-in-romanian-custody-but-he-has/,uary 25^ 2023,Facebook posts,false
“One quarter” of today’s $31.4 trillion federal debt “was accumulated in the four years of my predecessor^” Donald Trump.,https://www.politifact.com/factchecks/2023/jan/25/joe-biden/joe-biden-blames-donald-trump-for-one-quarter-of-t/,uary 25^ 2023,Joe Biden,half-true
“Putin destroys adrenochrome lab in Ukraine.”,https://www.politifact.com/factchecks/2023/jan/25/blog-posting/fabricated-story-falsely-claims-vladimir-putin-des/,uary 25^ 2023,Bloggers,pants-fire
“Chickens aren’t laying eggs because RNA is being added to commercial chicken feed.”,https://www.politifact.com/factchecks/2023/jan/25/tiktok-posts/rna-making-chickens-lay-fewer-eggs-no-improper-nut/,uary 25^ 2023,TikTok posts,false
Polio wasn’t eradicated in the United States by a vaccine.,https://www.politifact.com/factchecks/2023/jan/25/instagram-posts/ddt-ban-didnt-stop-us-polio-epidemic-vaccines-did/,uary 25^ 2023,Instagram posts,false
Christine Grady “is the head of NIH.”,https://www.politifact.com/factchecks/2023/jan/25/instagram-posts/no-dr-anthonys-faucis-wife-isnt-the-national-insti/,uary 25^ 2023,Instagram posts,false
“The USA has a gun homicide rate 26 times higher than our peers.”,https://www.politifact.com/factchecks/2023/jan/25/gavin-newsom/gavin-newsom-is-mostly-right-the-us-gun-homicide-r/,uary 25^ 2023,Gavin Newsom,mostly-true
The U.S. chicken and egg shortage is linked to Bill Gates.,https://www.politifact.com/factchecks/2023/jan/25/instagram-posts/the-bill-gates-egg-shortage-conspiracy-isnt-all-it/,uary 25^ 2023,Instagram posts,false
“Let’s be clear: ‘drag shows’ are strip shows.”,https://www.politifact.com/factchecks/2023/jan/25/scott-walker/no-drag-shows-are-not-same-strip-shows/,uary 25^ 2023,Scott Walker,false
Virginia tax receipts “in just the last four years alone have grown 50%.”,https://www.politifact.com/factchecks/2023/jan/25/glenn-youngkin/youngkin-near-mark-tax-growth-claim/,uary 25^ 2023,Glenn Youngkin,mostly-true
Sudden arrhythmic death syndrome and “stroke season” didn’t exist before the COVID-19 pandemic.,https://www.politifact.com/factchecks/2023/jan/24/instagram-posts/sudden-arrhythmic-death-syndrome-seasonal-stroke-r/,uary 24^ 2023,Instagram posts,false
“Fifty-one percent of our taxes are paid by 2% of New Yorkers.”,https://www.politifact.com/factchecks/2023/jan/24/eric-adams/claim-about-wealthy-residents-and-taxes-new-york-c/,uary 24^ 2023,Eric Adams,mostly-true
Actor Isaac Kappy was murdered for exposing Hollywood pedophiles.,https://www.politifact.com/factchecks/2023/jan/24/facebook-posts/actor-isaac-kappy-died-years-ago-qanon-claims-he-w/,uary 24^ 2023,Facebook posts,pants-fire
"New government-funded 'food pyramid' says Lucky Charms are healthier than steak.",https://www.politifact.com/factchecks/2023/jan/24/instagram-posts/magically-nutritious-joe-rogans-misleading-post-ab/,uary 24^ 2023,Instagram posts,barely-true
Statement, Link, Date, Source, Label
“NOAA makes it official… CO2 warming is a hoax.”,https://www.politifact.com/factchecks/2023/jan/24/viral-image/climate-change-real-and-earth-warming/,uary 24^ 2023,Viral image,false
Historic photos are evidence these celebrities were cloned.,https://www.politifact.com/factchecks/2023/jan/24/viral-image/the-resemblance-is-purely-coincidental-these-pictu/,uary 24^ 2023,Viral image,false
“Classified documents can never be taken out of a (sensitive compartmented information facility)^ ever.”,https://www.politifact.com/factchecks/2023/jan/24/brian-fitzpatrick/gop-congressman-oversimplifies-claim-classified-do/,uary 24^ 2023,Brian Fitzpatrick,half-true
Damar Hamlin wasn’t at the Buffalo Bills' playoff game.,https://www.politifact.com/factchecks/2023/jan/23/tiktok-posts/damar-hamlin-appeared-at-the-buffalo-bills-game-co/,uary 23^ 2023,TikTok posts,pants-fire
Video proves Greta Thunberg is a crisis actor.,https://www.politifact.com/factchecks/2023/jan/23/instagram-posts/greta-thunberg-is-often-in-the-spotlight-but-not-b/,uary 23^ 2023,Instagram posts,false
"Climate change is a naturally occurring phenomenon that can be tracked throughout prehistoric eras.",https://www.politifact.com/factchecks/2023/jan/23/instagram-posts/climate-change-is-not-a-naturally-occurring-phenom/,uary 23^ 2023,Instagram posts,false
A video shows wreckage of the recent plane crash in Nepal.,https://www.politifact.com/factchecks/2023/jan/23/facebook-posts/video-shows-a-tour-of-a-war-of-the-worlds-movie-se/,uary 23^ 2023,Facebook posts,false
"New York is bombed. At this moment^ there are many injured.”,https://www.politifact.com/factchecks/2023/jan/23/instagram-posts/photo-2017-used-false-post-alleging-recent-new-yor/,uary 23^ 2023,Instagram posts,pants-fire
“MRNA vaccines are being injected into our food supply.”,https://www.politifact.com/factchecks/2023/jan/23/facebook-posts/no-mrna-vaccines-arent-widely-used-in-livestock-an/,uary 23^ 2023,Facebook posts,false
Bill Gates tweeted that “vaccines in our food supply solves the problem of vaccine hesitancy.”,https://www.politifact.com/factchecks/2023/jan/20/instagram-posts/bill-gates-didnt-tweet-about-adding-vaccines-to-fo/,uary 20^ 2023,Instagram posts,pants-fire
The Federal Aviation Administration widened its electrocardiogram parameters for pilots because “a substantial number of airline pilots have had serious heart damage” from COVID-19 vaccines.,https://www.politifact.com/factchecks/2023/jan/20/instagram-posts/faa-medical-guidelines-changed-advice-cardiologist/,uary 20^ 2023,Instagram posts,false
Video shows hidden theater “where elites sacrifice kids.”,https://www.politifact.com/factchecks/2023/jan/20/instagram-posts/this-hidden-theater-in-italy-hosts-childrens-shows/,uary 20^ 2023,Instagram posts,pants-fire
"Almost every study now has said with these new boosters^ you're more likely to get infected with the bivalent booster.",https://www.politifact.com/factchecks/2023/jan/20/ron-desantis/gov-ron-desantis-falsely-claims-bivalent-booster-v/,uary 20^ 2023,Ron DeSantis,false
